xwindowsize,ywindowsize,label1x,label1y,label2x,label2y,label3x,label3y,label4x,label4y,label5x,label5y,label6x,label6y,label7x,label7y,label8x,label8y,label9x,label9y,label10x,label10y,label11x,label11y,label12x,label12y,label13x,label13y,label14x,label14y,label15x,label15y,label16x,label16y,label17x,label17y,label18x,label18y,label19x,label19y,label20x,label20y
1440,765,980,161,378,31,1109,54,838,98,504,47,1144,103,473,306,949,129,638,85,1181,78,973,102,1073,358,266,77,658,151,334,104,320,53,729,115,1101,332,503,263,937,77
1280,582,1071,301,147,390,201,168,624,450,148,357,1074,140,1061,516,1071,170,637,506,193,121,1072,111,1199,510,137,424,640,477,648,226,137,454,623,420,1199,541,1063,549,649,190
1093,499,965,354,319,121,971,74,537,186,246,237,492,385,178,354,969,377,93,228,975,104,551,160,320,179,72,425,95,201,178,324,72,400,569,218,323,153,242,261,480,408
1440,794,408,94,735,109,256,415,165,176,660,265,207,128,748,268,365,67,262,161,283,443,181,98,811,162,676,348,390,219,516,392,673,376,306,188,755,137,687,238,199,53
1536,695,899,206,517,364,200,590,1055,412,307,113,1243,96,430,145,972,282,1164,511,197,617,1244,130,610,256,733,626,1333,454,896,575,772,654,1169,481,575,288,309,84,1242,160
1158,702,652,307,510.5,368.5,651.5,461.5,652,276,510.5,306.5,510.5,275.5,510.5,337.5,510.5,430.5,651.5,244.5,510.5,399.5,651.5,337.5,651.5,492.5,651.5,399.5,652,213,510.5,492.5,510.5,244.5,510.5,461.5,651.5,430.5,510.5,213.5,651.5,368.5
1280,621,706,32,353,243,142,502,1208,262,677,245,520,94,822,364,73,67,1022,201,145,457,518,137,170,288,554,482,1092,383,508,359,558,517,1112,83,201,246,767,245,388,46
1280,582,761,72,980,196,409,421,988,101,522,94,915,366,1089,246,695,179,904,345,387,397,953,80,980,217,172,143,775,288,282,206,165,118,917,390,980,175,523,74,957,121
1440,810,1091,392,237,552,1187,499,987,211,287,461,823,198,198,510,1220,594,1009,94,1317,681,1033,265,1090,647,92,94,842,264,213,162,269,112,1171,157,1142,693,307,527,1001,716
1440,762,579,153,228,282,831,198,426,338,245,308,498,372,137,521,615,190,334,394,838,234,464,394,186,170,425,485,388,419,408,459,470,509,386,366,225,199,146,548,699,162
1440,765,541,287,1194,306,668,23,188,244,1267,285,492,260,1237,262,755,102,187,373,735,48,165,431,915,77,1241,444,169,310,1287,338,1216,423,174,190,882,52,1156,275,855,124
1536,727,664,585,386,171,839,178,473,451,334,205,505,505,366,292,827,96,439,390,720,127,490,475,447,221,1157,290,353,423,1166,199,1086,246,459,422,448,196,360,244,603,550
1440,739,1073,136,438,147,1123,339,607,531,489,349,702,379,391,246,1197,52,699,468,1222,299,782,422,441,51,209,596,699,546,451,533,248,566,573,478,541,83,437,310,839,356
1280,550,839,136,237,139,792,353,523,138,216,103,302,385,289,291,865,158,367,88,775,316,521,100,606,243,72,139,360,140,152,184,72,102,381,191,614,280,294,337,604,207
1246,587,1110,179,201,274,954,221,72,76,205,240,187,76,606,103,1023,104,90,148,949,245,189,102,1042,299,334,438,95,225,318,347,319,414,99,184,1046,322,605,135,1004,135
